"","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM","Cluster"
"TMe-206","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Purple","Green purple","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",2,2,1.6,1.6,2.4,2.4,4,4,0,43,III
"TMe-212","Green purple","Long","Green purple","Central part","25-50% leaf retention","2","Cream","3","450-600","Green purple","Dark green","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",10,3.33333333333333,1.6,0.533333333333333,3.6,1.2,5.2,1.73333333333333,1,34.8,V
"TMe-237","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green purple","Green purple","4","Long (25-30cm)","Short","Present","Tending toward horizontal",6,1.5,1.8,0.45,2.2,0.55,4,1,1,36.9,III
"TMe-261","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","1","Cream","0","No branching","Purple","Purple","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",6,1.5,3,0.75,5.2,1.3,8.2,2.05,1,42.4,III
"TMe-266","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Yellow","5","450-600","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Irregular",15,5,4.6,1.53333333333333,8.2,2.73333333333333,12.8,4.26666666666667,0,37.6,IV
"TMe-267","Green purple","Long","Red","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green purple","Purple","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",4,2,0.8,0.4,1.8,0.9,2.6,1.3,0,41.6,III
"TMe-269","Dark green","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","2","150-300","Dark green","Green purple","5","Medium (15-20cm)","Short","Absent","Irregular",17,4.25,3.8,0.95,7.8,1.95,11.6,2.9,1,40.3,VI
"TMe-270","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Yellow","3","450-600","Green purple","Green purple","5","Long (25-30cm)","Short","Absent","Irregular",20,4,4.6,0.92,10.2,2.04,14.8,2.96,1,43.6,IV
"TMe-274","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","4","450-600","Purple","Green purple","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",12,4,6.2,2.06666666666667,17,5.66666666666667,23.2,7.73333333333333,0,30.6,IV
"TMe-275","Green purple","Long","Green purple","Top part","50-75% leaf retention","2","White","2","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",13,4.33333333333333,2,0.666666666666667,3.2,1.06666666666667,5.2,1.73333333333333,1,41,V
