"","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM","Cluster"
"TMe-677","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","150-300","Green purple","Green purple","3","Long (25-30cm)","Absent","Absent","Tending toward horizontal",8,4,4.6,2.3,5.4,2.7,10,5,0,35,I
"TMe-678","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","150-300","Green purple","Dark green","5","Medium (15-20cm)","Short","Present","Irregular",31,6.2,7.2,1.44,10.6,2.12,17.8,3.56,2,35,VI
"TMe-679","Purple","Long","Green purple","Central part","50-75% leaf retention","1","White","2","450-600","Purple","Dark green","4","Long (25-30cm)","Absent","Absent","Irregular",15,3,5.4,1.08,7.2,1.44,12.6,2.52,0,43,V
"TMe-681","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","4","Long (25-30cm)","Short","Present","Irregular",13,4.33333333333333,4.6,1.53333333333333,6.8,2.26666666666667,11.4,3.8,1,41.7,II
"TMe-682","Green purple","Long","Green purple","Central part","25-50% leaf retention","3","Cream","2","450-600","Purple","Dark green","2","Long (25-30cm)","Absent","Absent","Irregular",15,7.5,6.8,3.4,9.2,4.6,16,8,2,44,V
"TMe-683","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","3","450-600","Purple","Dark green","2","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",6,3,1.8,0.9,5,2.5,6.8,3.4,0,38.6,VI
"TMe-725","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","5","750-900","Green purple","Light green","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",18,6,11,3.66666666666667,21,7,32,10.6666666666667,2,23.9,VI
"TMe-734","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","150-300","Dark green","Green purple","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",12,2.4,16,3.2,8,1.6,24,4.8,1,40.4,IV
"TMe-736","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","White","3","450-600","Dark green","Dark green","1","Long (25-30cm)","Short","Present","Tending toward horizontal",6,6,5.4,5.4,7,7,12.4,12.4,0,37.5,I
"TMe-745","Purple","Long","Green purple","Top and bottom","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Irregular",19,3.8,10,2,24,4.8,34,6.8,0,38,V
"TMe-751","Green purple","Long","Green purple","Top part","25-50% leaf retention","4","Cream","6","450-600","Purple","Dark green","2","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",10,5,6.4,3.2,14,7,20.4,10.2,0,31,VI
"TMe-752","Green purple","Long","Green purple","Central part","25-50% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",15,5,14,4.66666666666667,8,2.66666666666667,22,7.33333333333333,2,39.1,VI
"TMe-754","Purple","Long","Green purple","Top and bottom","25-50% leaf retention","3","Cream","5","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",18,3.6,10,2,10,2,20,4,0,39.1,V
"TMe-755","Green purple","Long","Green purple","Central part","25-50% leaf retention","3","Yellow","4","450-600","Dark green","Dark green","5","Medium (15-20cm)","Short","Present","Irregular",26,5.2,10.4,2.08,13.6,2.72,24,4.8,0,38.6,V
"TMe-756","Green purple","Long","Light green","Absent","50-75% leaf retention","4","Cream","5","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Tending toward horizontal",15,3.75,15,3.75,18.4,4.6,33.4,8.35,0,43.5,I
"TMe-757","Green purple","Medium","Green purple","Central part","25-50% leaf retention","3","White","3","150-300","Purple","Green purple","5","Medium (15-20cm)","Absent","Present","Irregular",10,3.33333333333333,1.2,0.4,1,0.333333333333333,2.2,0.733333333333333,0,42.5,I
"TMe-760","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","3","White","4","450-600","Dark green","Green purple","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",11,2.75,6,1.5,5,1.25,11,2.75,0,44,IV
"TMe-766","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","1","Cream","2","450-600","Dark green","Purple","2","Long (25-30cm)","Absent","Absent","Irregular",9,3,5,1.66666666666667,12,4,17,5.66666666666667,0,38.2,IV
"TMe-768","Green purple","Long","Green purple","Top and bottom","50-75% leaf retention","0","White","0","No branching","Dark green","Dark green","1","Long (25-30cm)","Absent","Present","Tending toward horizontal",9,9,2,2,1.2,1.2,3.2,3.2,0,38.4,II
"TMe-773","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Purple","Purple","2","Long (25-30cm)","Short","Present","Irregular",10,5,4.2,2.1,7,3.5,11.2,5.6,0,33.2,III
"TMe-777","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","5","450-600","Dark green","Dark green","4","Medium (15-20cm)","Short","Present","Irregular",22,5.5,10.2,2.55,17,4.25,27.2,6.8,2,32.5,V
"TMe-778","Dark green","Long","Green purple","Central part","50-75% leaf retention","1","White","2","150-300","Light green","Green purple","3","Long (25-30cm)","Short","Absent","Irregular",8,2,4,1,5.2,1.3,9.2,2.3,0,29.7,I
"TMe-781","Green purple","Medium","Green purple","Central part","50-75% leaf retention","4","Cream","4","450-600","Purple","Dark green","3","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",12,6,4,2,10,5,14,7,0,35.4,VI
"TMe-782","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","White","4","450-600","Dark green","Light green","4","Long (25-30cm)","Short","Absent","Irregular",18,3.6,15,3,12,2.4,27,5.4,0,41,V
"TMe-785","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","1","Cream","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Irregular",16,4,10.4,2.6,8,2,18.4,4.6,0,41.1,III
"TMe-787","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","4","450-600","Green purple","Green purple","5","Long (25-30cm)","Intermediate","Present","Irregular",24,4.8,15.2,3.04,18.2,3.64,33.4,6.68,0,33.4,IV
"TMe-791","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","5","450-600","Purple","Dark green","4","Medium (15-20cm)","Short","Present","Tending toward horizontal",9,3,3,1,6,2,9,3,0,33.9,VI
"TMe-795","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Green purple","Green purple","5","Medium (15-20cm)","Intermediate","Absent","Irregular",16,5.33333333333333,12.4,4.13333333333333,10,3.33333333333333,22.4,7.46666666666667,1,34.7,V
"TMe-796","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Green purple","Light green","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",6,3,3.8,1.9,6,3,9.8,4.9,3,39,II
"TMe-797","Green purple","Medium","Green purple","Central part","25-50% leaf retention","3","Cream","5","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",18,4.5,5.8,1.45,7,1.75,12.8,3.2,2,39,V
"TMe-801","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","150-300","Dark green","Green purple","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",10,5,1.4,0.7,1,0.5,2.4,1.2,7,35.7,IV
"TMe-804","Green purple","Medium","Green purple","Central part","25-50% leaf retention","4","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",13,2.6,7.2,1.44,14,2.8,21.2,4.24,3,33.5,V
"TMe-806","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","4","450-600","Purple","Green purple","3","Long (25-30cm)","Absent","Absent","Tending toward horizontal",3,3,1.4,1.4,5,5,6.4,6.4,0,33.9,IV
"TMe-809","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","3","450-600","Purple","Light green","5","Medium (15-20cm)","Absent","Present","Irregular",15,3.75,8.2,2.05,14,3.5,22.2,5.55,0,40.5,VI
"TMe-812","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","3","150-300","Light green","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",30,6,24.2,4.84,28.4,5.68,52.6,10.52,3,33,IV
"TMe-815","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","White","3","750-900","Dark green","Dark green","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",1,1,12,12,3,3,15,15,0,44.3,I
"TMe-817","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","150-300","Dark green","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",24,6,2.8,0.7,6,1.5,8.8,2.2,0,38.5,IV
"TMe-819","Green purple","Long","Green purple","Top part","25-50% leaf retention","2","Cream","3","450-600","Green purple","Dark green","5","Medium (15-20cm)","Long","Present","Irregular",18,4.5,7,1.75,13,3.25,20,5,0,40,V
"TMe-824","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","450-600","Purple","Dark green","4","Medium (15-20cm)","Absent","Present","Irregular",12,4,5.6,1.86666666666667,8,2.66666666666667,13.6,4.53333333333333,1,35.7,IV
"TMe-828","Purple","Medium","Green purple","Central part","25-50% leaf retention","3","Cream","3","750-900","Purple","Dark green","3","Long (25-30cm)","Absent","Absent","Irregular",14,3.5,3,0.75,6,1.5,9,2.25,3,43.1,V
"TMe-834","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","4","450-600","Purple","Green purple","4","Medium (15-20cm)","Absent","Present","Irregular",15,5,7,2.33333333333333,5,1.66666666666667,12,4,0,42,IV
"TMe-836","Green purple","Medium","Green purple","Central part","25-50% leaf retention","1","White","3","150-300","Purple","Dark green","2","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",1,1,0.6,0.6,1,1,1.6,1.6,0,35.2,VI
"TMe-838","Green purple","Medium","Green purple","Top part","25-50% leaf retention","2","Cream","2","450-600","Purple","Light green","4","Medium (15-20cm)","Absent","Absent","Irregular",18,4.5,6,1.5,8,2,14,3.5,0,33.1,VI
"TMe-840","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","Cream","2","450-600","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Irregular",5,1.66666666666667,1.8,0.6,2.4,0.8,4.2,1.4,2,35.9,IV
"TMe-841","Dark green","Long","Green purple","Top part","50-75% leaf retention","3","Cream","4","450-600","Dark green","Dark green","2","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",6,2,0.8,0.266666666666667,1.8,0.6,2.6,0.866666666666667,3,40.5,I
"TMe-845","Green purple","Medium","Green purple","Central part","25-50% leaf retention","4","Cream","4","450-600","Green purple","Dark green","2","Medium (15-20cm)","Short","Absent","Irregular",8,8,5,5,6,6,11,11,0,45.5,VI
"TMe-853","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Purple","Purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",12,2.4,10,2,10,2,20,4,0,24.7,III
"TMe-861","Purple","Long","Green purple","Top part","50-75% leaf retention","1","Cream","2","150-300","Purple","Dark green","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",5,5,7,7,10,10,17,17,0,37,V
"TMe-867","Green purple","Long","Dark green","Absent","25-50% leaf retention","2","White","3","450-600","Dark green","Dark green","5","Short (5-10cm)","Short","Present","Tending toward horizontal",24,6,2,0.5,8.2,2.05,10.2,2.55,4,44.5,I
"TMe-868","Green purple","Long","Green purple","Central part","25-50% leaf retention","2","Cream","2","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",18,3.6,5,1,8,1.6,13,2.6,3,29,V
"TMe-884","Green purple","Long","Green purple","Central part","50-75% leaf retention","1","Cream","1","450-600","Purple","Dark green","2","Long (25-30cm)","Absent","Present","Irregular",11,5.5,5,2.5,11.2,5.6,16.2,8.1,1,30.7,V
"TMe-890","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Short","Absent","Tending toward horizontal",21,5.25,4.2,1.05,10.6,2.65,14.8,3.7,0,44.2,II
"TMe-891","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","3","450-600","Purple","Green purple","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",10,2.5,5.4,1.35,7.2,1.8,12.6,3.15,0,43.2,IV
"TMe-897","Green purple","Long","Purple","Totally pigmented","<100% leaf retention","1","Cream","4","450-600","Purple","Green purple","2","Long (25-30cm)","Short","Present","Irregular",3,3,3,3,3.2,3.2,6.2,6.2,0,34.2,IV
"TMe-902","Green purple","Short","Green purple","Central part","50-75% leaf retention","1","Cream","0","No branching","Green purple","Green purple","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",7,1.75,11,2.75,10,2.5,21,5.25,0,32,II
"TMe-903","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","White","2","450-600","Purple","Dark green","1","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",3,3,1.2,1.2,4,4,5.2,5.2,0,27.2,VI
"TMe-919","Green purple","Short","Purple","Totally pigmented","<100% leaf retention","2","White","2","450-600","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",16,5.33333333333333,6.8,2.26666666666667,15.2,5.06666666666667,22,7.33333333333333,0,38.7,IV
"TMe-920","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","Cream","2","150-300","Purple","Dark green","3","Medium (15-20cm)","Absent","Absent","Irregular",11,3.66666666666667,10.6,3.53333333333333,10,3.33333333333333,20.6,6.86666666666667,1,37.1,V
"TMe-925","Green purple","Short","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Green purple","Dark green","2","Medium (15-20cm)","Intermediate","Absent","Tending toward horizontal",2,1,0.2,0.1,0.4,0.2,0.6,0.3,1,41.3,II
"TMe-929","Purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Irregular",22,4.4,20.2,4.04,24,4.8,44.2,8.84,0,32.6,V
"TMe-930","Green purple","Medium","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Green purple","Dark green","1","Long (25-30cm)","Short","Absent","Irregular",6,3,0.4,0.2,0.4,0.2,0.8,0.4,0,35.4,II
"TMe-932","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Short","Absent","Tending toward horizontal",23,4.6,4.4,0.88,13,2.6,17.4,3.48,0,33.9,V
"TMe-937","Green purple","Medium","Green purple","Central part","25-50% leaf retention","3","Cream","2","450-600","Purple","Green purple","5","Short (5-10cm)","Short","Present","Tending toward horizontal",14,2.8,1,0.2,3.4,0.68,4.4,0.88,0,25,I
"TMe-939","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Green purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",22,5.5,9.2,2.3,13,3.25,22.2,5.55,0,39.3,V
"TMe-940","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","0","Cream","1","450-600","Green purple","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",15,3,6,1.2,10,2,16,3.2,2,37.4,I
"TMe-945","Purple","Long","Green purple","Top and bottom","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",17,3.4,6,1.2,10.4,2.08,16.4,3.28,0,34.3,V
"TMe-946","Dark green","Long","Purple","Totally pigmented","<100% leaf retention","0","Cream","0","No branching","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",32,6.4,6.2,1.24,13.2,2.64,19.4,3.88,0,39.6,III
"TMe-950","Purple","Long","Green purple","Top and bottom","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","4","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",14,4.66666666666667,2.6,0.866666666666667,5.2,1.73333333333333,7.8,2.6,1,28.4,V
"TMe-951","Dark green","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Dark green","Dark green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",13,4.33333333333333,6.4,2.13333333333333,7.2,2.4,13.6,4.53333333333333,0,48,V
"TMe-952","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","1","150-300","Green purple","Dark green","3","Medium (15-20cm)","Short","Present","Tending toward horizontal",2,1,1.2,0.6,2,1,3.2,1.6,0,37.1,I
"TMe-954","Purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",16,4,7.2,1.8,10.2,2.55,17.4,4.35,3,32.2,V
"TMe-956","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","450-600","Light green","Green purple","5","Medium (15-20cm)","Long","Absent","Tending toward horizontal",14,3.5,4.4,1.1,5.2,1.3,9.6,2.4,0,41.6,IV
"TMe-962","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","4","450-600","Green purple","Dark green","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",4,4,2.6,2.6,4,4,6.6,6.6,1,38,IV
"TMe-967","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","White","4","450-600","Purple","Green purple","1","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",6,6,1.8,1.8,3.6,3.6,5.4,5.4,0,38.3,IV
"TMe-968","Green purple","Long","Green purple","Central part","25-50% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",11,5.5,3,1.5,9,4.5,12,6,1,40.2,VI
"TMe-972","Purple","Long","Green purple","Top and bottom","50-75% leaf retention","2","White","1","450-600","Green purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",20,4,5.6,1.12,5.4,1.08,11,2.2,0,29.4,V
"TMe-985","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","6","450-600","Purple","Dark green","3","Medium (15-20cm)","Short","Present","Tending toward horizontal",5,2.5,3.4,1.7,4.6,2.3,8,4,1,45.5,VI
"TMe-990","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Purple","Green purple","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",10,2.5,5.4,1.35,2.8,0.7,8.2,2.05,1,40.7,I
"TMe-994","Dark green","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","4","150-300","Dark green","Dark green","4","Medium (15-20cm)","Absent","Present","Irregular",14,4.66666666666667,14.2,4.73333333333333,18,6,32.2,10.7333333333333,0,34.2,VI
"TMe-995","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Purple","Green purple","1","Long (25-30cm)","Absent","Present","Tending toward horizontal",2,2,1.6,1.6,2.4,2.4,4,4,0,32,III
"TMe-1005","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Purple","Dark green","2","Medium (15-20cm)","Absent","Absent","Irregular",4,2,2,1,5,2.5,7,3.5,0,31.4,II
"TMe-1006","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Irregular",4,1.33333333333333,1.6,0.533333333333333,2,0.666666666666667,3.6,1.2,0,28,III
"TMe-1007","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","Cream","2","450-600","Purple","Dark green","3","Long (25-30cm)","Absent","Present","Irregular",15,5,10,3.33333333333333,17.2,5.73333333333333,27.2,9.06666666666667,1,39.2,VI
"TMe-1012","Green purple","Long","Green purple","Top part","25-50% leaf retention","2","Cream","4","450-600","Green purple","Dark green","4","Long (25-30cm)","Absent","Absent","Irregular",16,4,8.2,2.05,11.4,2.85,19.6,4.9,0,38.9,V
"TMe-1037","Purple","Medium","Green purple","Central part","50-75% leaf retention","3","White","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",12,3,6.8,1.7,11,2.75,17.8,4.45,0,37.3,V
"TMe-1051","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Dark green","3","Long (25-30cm)","Absent","Present","Tending toward horizontal",10,5,5.4,2.7,0.4,0.2,5.8,2.9,8,45.5,II
"TMe-1062","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","5","150-300","Green purple","Dark green","3","Medium (15-20cm)","Short","Absent","Irregular",7,2.33333333333333,5,1.66666666666667,6,2,11,3.66666666666667,1,36,VI
"TMe-1074","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","6","450-600","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Irregular",18,3.6,15.4,3.08,17.8,3.56,33.2,6.64,2,40.2,VI
"TMe-1095","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","4","450-600","Dark green","Green purple","3","Medium (15-20cm)","Short","Absent","Tending toward horizontal",10,3.33333333333333,7.4,2.46666666666667,8,2.66666666666667,15.4,5.13333333333333,0,32.2,IV
"TMe-1096","Dark green","Long","Green purple","Top part","50-75% leaf retention","2","Cream","3","450-600","Green","Dark green","2","Long (25-30cm)","Short","Present","Tending toward horizontal",10,5,2.8,1.4,0.6,0.3,3.4,1.7,6,36.6,I
"TMe-1099","Green purple","Medium","Green purple","Central part","25-50% leaf retention","1","White","4","750-900","Green purple","Dark green","4","Long (25-30cm)","Absent","Absent","Irregular",18,6,5.8,1.93333333333333,9.4,3.13333333333333,15.2,5.06666666666667,0,37,V
"TMe-1100","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","2","450-600","Purple","Dark green","3","Long (25-30cm)","Absent","Absent","Irregular",15,7.5,7,3.5,12,6,19,9.5,0,41.9,V
"TMe-1106","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","2","150-300","Dark green","Green purple","5","Medium (15-20cm)","Intermediate","Absent","Irregular",11,2.2,5,1,7.4,1.48,12.4,2.48,0,44.2,IV
"TMe-1110","Green purple","Medium","Green purple","Central part","25-50% leaf retention","1","Cream","2","450-600","Purple","Dark green","4","Medium (15-20cm)","Short","Present","Irregular",7,2.33333333333333,3.2,1.06666666666667,4.6,1.53333333333333,7.8,2.6,1,30.6,VI
"TMe-1118","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","3","150-300","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Irregular",8,2,3.6,0.9,4,1,7.6,1.9,0,40.4,IV
"TMe-1123","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","1","Cream","0","No branching","Green purple","Green purple","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",11,2.75,2.2,0.55,6,1.5,8.2,2.05,0,36.6,IV
"TMe-1127","Green purple","Long","Green purple","Central part","25-50% leaf retention","2","White","2","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Tending toward horizontal",20,4,6.2,1.24,10.4,2.08,16.6,3.32,1,41.4,V
"TMe-1128","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","White","3","450-600","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Absent","Irregular",15,3.75,4,1,7.2,1.8,11.2,2.8,0,35.6,IV
"TMe-1137","Purple","Long","Green purple","Central part","<100% leaf retention","0","Cream","0","No branching","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Tending toward horizontal",14,4.66666666666667,12.4,4.13333333333333,18.4,6.13333333333333,30.8,10.2666666666667,1,37.2,II
"TMe-1140","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",22,5.5,5.4,1.35,12.4,3.1,17.8,4.45,1,44.3,I
"TMe-1151","Purple","Long","Purple","Totally pigmented","50-75% leaf retention","2","Cream","3","450-600","Purple","Green purple","3","Medium (15-20cm)","Short","Present","Tending toward horizontal",11,3.66666666666667,5,1.66666666666667,9.2,3.06666666666667,14.2,4.73333333333333,0,33.1,IV
"TMe-1155","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","150-300","Purple","Green purple","5","Medium (15-20cm)","Absent","Absent","Irregular",12,3,5.4,1.35,8.4,2.1,13.8,3.45,2,35.3,IV
"TMe-1156","Green purple","Medium","Green purple","Central part","<100% leaf retention","2","Cream","2","450-600","Dark green","Dark green","5","Long (25-30cm)","Short","Present","Tending toward horizontal",11,3.66666666666667,6.8,2.26666666666667,5.2,1.73333333333333,12,4,5,35.3,I
"TMe-1160","Purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",19,4.75,7.2,1.8,20.4,5.1,27.6,6.9,1,37.2,V
"TMe-1162","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","4","Cream","5","450-600","Purple","Green purple","1","Medium (15-20cm)","Short","Present","Irregular",5,5,2.8,2.8,6,6,8.8,8.8,0,38.2,IV
"TMe-1164","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","6","450-600","Purple","Dark green","2","Medium (15-20cm)","Short","Present","Irregular",9,3,3.8,1.26666666666667,7.2,2.4,11,3.66666666666667,0,42.7,VI
"TMe-1166","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","150-300","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Irregular",6,3,2.6,1.3,3.8,1.9,6.4,3.2,1,42,IV
"TMe-1167","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","150-300","Dark green","Green purple","5","Long (25-30cm)","Short","Present","Irregular",13,2.6,4.4,0.88,6.2,1.24,10.6,2.12,0,38.6,IV
"TMe-1170","Green purple","Medium","Green purple","Central part","50-75% leaf retention","2","Cream","3","450-600","Dark green","Light green","2","Medium (15-20cm)","Short","Present","Irregular",10,5,7.2,3.6,8,4,15.2,7.6,0,35.2,I
"TMe-1171","Purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","5","150-300","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Irregular",15,3.75,7.4,1.85,7.8,1.95,15.2,3.8,0,46,VI
"TMe-1172","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Green purple","Dark green","3","Long (25-30cm)","Short","Present","Tending toward horizontal",9,4.5,3,1.5,5.2,2.6,8.2,4.1,0,43.7,II
"TMe-1176","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Purple","Green purple","5","Long (25-30cm)","Short","Absent","Irregular",15,3,5.4,1.08,4.8,0.96,10.2,2.04,4,27,III
"TMe-1183","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","150-300","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",18,4.5,6.8,1.7,8.4,2.1,15.2,3.8,0,40.9,V
"TMe-1184","Green purple","Medium","Green purple","Central part","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","2","Medium (15-20cm)","Short","Absent","Irregular",4,1.33333333333333,2,0.666666666666667,2.4,0.8,4.4,1.46666666666667,0,38.5,II
"TMe-1187","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","3","Medium (15-20cm)","Absent","Present","Tending toward horizontal",8,4,4.6,2.3,5.2,2.6,9.8,4.9,0,38.1,II
